symbol,position,rationale,disclosureDate,transactionDate,firstName,lastName,office,owner,assetDescription,assetType,type,amount,link,chamber,RunDate,RunTime
GIS,short,Recent underperformance in the consumer staples sector amid rising costs and supply chain issues.,2025-03-18,2025-02-11,Tina,Smith,Tina Smith,Spouse,"General Mills, Inc. Common Stock",Stock,Sale (Full),175000.5,https://efdsearch.senate.gov/search/view/ptr/ec33423d-b244-4bc3-a96f-da77436cda11/,senate,2025-04-24,14:35:17
WFC,short,This ticker was mistakenly omitted; consider shifting focus to other weak performers.,2025-03-12,2025-03-03,Mitch,McConnell,Mitch McConnell,Spouse,Wells Fargo & Co,Stock,Purchase,8000.5,https://efdsearch.senate.gov/search/view/ptr/07155f69-e46a-49db-8341-66a2fab74c3c/,senate,2025-04-26,03:40:12
WFC,short,This ticker was mistakenly omitted; consider shifting focus to other weak performers.,2025-03-11,2025-03-03,Mitch,McConnell,Mitch McConnell,Spouse,Wells Fargo & Company,Stock,Purchase,8000.5,https://efdsearch.senate.gov/search/view/ptr/07155f69-e46a-49db-8341-66a2fab74c3c/,senate,2025-04-26,03:40:12
BAC,long,"Anticipated interest rate changes may favor financial institutions, complemented by net positive flows.",2025-04-24,2025-03-24,George, Whitesides,George  Whitesides,,Bank of America Corp,Stock,Sale,32500.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027982.pdf,house,2025-04-26,11:18:45
V,short,Visa may face pressures from regulatory scrutiny and changes in consumer spending patterns.,2025-04-24,2025-03-24,George, Whitesides,George  Whitesides,,Visa Inc,Stock,Sale,32500.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027982.pdf,house,2025-04-27,03:26:45
V,short,Visa may face pressures from regulatory scrutiny and changes in consumer spending patterns.,2025-04-18,2025-03-11,Michael,McCaul,Michael McCaul,Spouse,Visa Inc,Stock,Sale,8000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220834.pdf,house,2025-04-27,03:26:45
V,short,Visa may face pressures from regulatory scrutiny and changes in consumer spending patterns.,2025-04-18,2025-03-12,Michael,McCaul,Michael McCaul,Spouse,Visa Inc,Stock,Sale,8000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220834.pdf,house,2025-04-27,03:26:45
V,short,Visa may face pressures from regulatory scrutiny and changes in consumer spending patterns.,2025-04-18,2025-03-06,Michael,McCaul,Michael McCaul,Spouse,Visa Inc,Stock,Sale,8000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220834.pdf,house,2025-04-27,03:26:45
V,short,Visa may face pressures from regulatory scrutiny and changes in consumer spending patterns.,2025-04-18,2025-03-14,Michael,McCaul,Michael McCaul,Spouse,Visa Inc,Stock,Sale,32500.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220834.pdf,house,2025-04-27,03:26:45
HWM,short,Recent underperformance and potential overvaluation based on current market trends.,2025-03-23,2025-02-24,Ashley,Moody,Ashley Moody,Self,Howmet Aerospace Inc,Stock,Sale,75000.5,https://efdsearch.senate.gov/search/view/ptr/376521e5-ad5e-44ec-8bd4-63847da2e049/,senate,2025-04-27,15:44:11
,short,No suitable candidates for shorting identified based on the available data.,2025-04-23,2025-03-31,Kevin,Hern,Kevin Hern,Joint,MORGAN STANLEY FIN LLC MTN ZERO CPN,,Sale (Full),750000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030185.pdf,house,2025-04-27,16:06:20
,short,No suitable candidates for shorting identified based on the available data.,2025-04-23,2025-04-15,Earl Leroy,Carter,Earl Leroy Carter,,US Treasury Bill,,Purchase,3000000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030215.pdf,house,2025-04-27,16:06:20
,short,No suitable candidates for shorting identified based on the available data.,2025-04-21,2024-01-16,Kathy,Manning,Kathy Manning,Spouse,"Echo Street GoodCo Select, LP",,Sale (Full),32500.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029046.pdf,house,2025-04-27,16:06:20
,short,No suitable candidates for shorting identified based on the available data.,2025-04-21,2024-01-05,Kathy,Manning,Kathy Manning,Spouse,"Echo Street GoodCo Select, LP",,Sale (Full),750000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029046.pdf,house,2025-04-27,16:06:20
,short,No suitable candidates for shorting identified based on the available data.,2025-04-18,2025-03-27,Scott H.,Peters,Scott H. Peters,Spouse,U.S Treasury Bills,,Sale (Partial),750000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029120.pdf,house,2025-04-27,16:06:20
,short,No suitable candidates for shorting identified based on the available data.,2025-04-18,2025-03-31,Scott H.,Peters,Scott H. Peters,Spouse,U.S Treasury Bills,,Purchase,750000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029120.pdf,house,2025-04-27,16:06:20
C,short,Dragging performance in the banking sector amidst rising rates.,2025-04-24,2025-03-24,George, Whitesides,George  Whitesides,,Citigroup Inc,Stock,Sale,32500.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027982.pdf,house,2025-04-27,17:39:13
TSLA,short,Overvaluation concerns in the electric vehicle market may lead to profit-taking.,2025-04-23,2025-03-31,Rob,Bresnahan,Rob Bresnahan,,Tesla Inc,Stock,Sale,8000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030212.pdf,house,2025-04-28,07:48:42
NFLX,short,Increasing competition in streaming services may hinder subscriber growth and profitability.,2025-04-24,2025-03-27,George, Whitesides,George  Whitesides,,Netflix Inc,Stock,Sale,175000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027982.pdf,house,2025-04-28,07:48:42
META,short,Ongoing privacy concerns and regulatory challenges could pressure the advertising revenue model.,2025-04-10,2025-03-26,Shelley,Moore Capito,Shelley Moore Capito,Spouse,Meta Platforms Inc,Stock,Purchase,8000.5,https://efdsearch.senate.gov/search/view/ptr/bb5a37f0-b259-46e9-8a2c-c27f24fe1533/,senate,2025-04-28,07:48:42
META,short,Ongoing privacy concerns and regulatory challenges could pressure the advertising revenue model.,2025-04-09,2025-03-26,Shelley,Moore Capito,Shelley Moore Capito,Spouse,Meta Platforms Inc,Stock,Purchase,8000.5,https://efdsearch.senate.gov/search/view/ptr/bb5a37f0-b259-46e9-8a2c-c27f24fe1533/,senate,2025-04-28,07:48:42
META,short,Ongoing privacy concerns and regulatory challenges could pressure the advertising revenue model.,2025-03-06,2025-02-25,Shelley,Moore Capito,Shelley Moore Capito,Spouse,Meta Platforms Inc,Stock,Purchase,8000.5,https://efdsearch.senate.gov/search/view/ptr/2f191d07-0340-4367-ba29-a81216bb20e3/,senate,2025-04-28,07:48:42
META,short,Ongoing privacy concerns and regulatory challenges could pressure the advertising revenue model.,2025-04-23,2025-04-02,Rob,Bresnahan,Rob Bresnahan,,Meta Platforms Inc,Stock,Sale,8000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030212.pdf,house,2025-04-28,07:48:42
MCD,short,Potential challenges in consumer spending due to economic conditions could impact profitability.,2025-04-24,2025-03-24,George, Whitesides,George  Whitesides,,McDonald's Corp,Stock,Sale,175000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027982.pdf,house,2025-04-29,11:36:12
AAPL,short,Weak product demand and supply chain issues could pressure the stock downwards.,2025-04-18,2025-03-10,Michael,McCaul,Michael McCaul,Spouse,Apple Inc,Stock,Sale,175000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220834.pdf,house,2025-04-29,13:06:24
LLY,long,Solid net inflow reflecting confidence in its pharmaceutical pipelines and overall market stability.,2025-04-29,2025-04-08,Rob,Bresnahan,Rob Bresnahan,,Eli Lilly and Co,Stock,Sale,8000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030238.pdf,house,2025-04-29,14:34:05
AMD,long,Continuing innovations and high net flow signal growth potential in the semiconductor sector.,2025-04-29,2025-04-08,Rob,Bresnahan,Rob Bresnahan,,Advanced Micro Devices Inc,Stock,Sale,32500.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030238.pdf,house,2025-04-29,14:34:05
SPG,short,Weakening consumer spending trends could negatively impact retail real estate fundamentals.,2025-04-28,2025-04-03,Victoria,Spartz,Victoria Spartz,Spouse,Simon Property Group Inc,REIT,Purchase,8000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030233.pdf,house,2025-04-29,14:34:05
GIS,short,Fundamentals are weakening and market trends point to declining consumer interest.,2025-04-29,2025-04-08,Rob,Bresnahan,Rob Bresnahan,,General Mills Inc,Stock,Sale,8000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030238.pdf,house,2025-04-29,14:36:15
AXP,short,Concerns over consumer spending could impact credit card transactions negatively.,2025-03-05,2025-02-26,John,Boozman,John Boozman,Joint,American Express Company,Stock,Purchase,8000.5,https://efdsearch.senate.gov/search/view/ptr/6cf4a78e-92f0-4201-bf73-e9b02cd8f9ef/,senate,2025-04-29,14:37:22
OMF,short,Concerns over rising interest rates impacting lending profitability.,18/04/2025,12/03/2025,Michael,McCaul,Michael McCaul,Spouse,OneMain Holdings Inc,Stock,Purchase,32500.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220834.pdf,house,23/04/2025,22:43:30
UNH,short,High valuation amidst regulatory pressures and rising healthcare costs.,18/04/2025,13/03/2025,Michael,McCaul,Michael McCaul,Spouse,Unitedhealth Group Inc,Stock,Purchase,32500.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220834.pdf,house,23/04/2025,22:43:30
